{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Plague_Fix.27070} 医生您好。感谢您为我扫清障碍。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Plague_Fix.12062} 我不过是想弥补隔离令的过失……至于你这怪物，不是朋友，也不是盟友。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Plague_Fix.30123} 您错了。您不过是个终于开窍的聪明人——明白我是福非祸。\n\n顺便告诉您，您那位西蒙早就参透这点。所以他允许我进入小镇，所以他接受了我的圣餐。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Plague_Fix.28985} 所以他死了？
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Plague_Fix.21572} 呵，学者……他什么时候死了？您只是看错了方向。他将<b>时间<b>逐出世界，才得到了永生。他找到了办法，让自己能够同时处于垂死、病痛、生存、腐朽、繁荣的状态……
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Plague_Fix.6249} 等……等等！让我想想！
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Plague_Fix.17026} 尽管想。我有的是时间——<b>无限</b>的时间。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Plague_Fix.16858} 你说他“驱逐”了时间？那我就把它召回来！
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Plague_Fix.295} 最近的钟表在哪？这瘟疫雾气里日晷可不管用……
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Plague_Fix.7227} 是啊，日晷没用了。<b>所有</b>日晷都没用。太阳已被我击败。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Plague_Fix.27759} 没事，那我去找机械钟。我已知道如何<b>对抗</b>你！现在我明白了。不止是你，还有<b>一切</b>，我都明白了。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Plague_Fix.5877} 没关系，我不再需要太阳。<b>真理</b>自会照亮前路。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Plague_Fix.9422} 满口谎言的怪物。西蒙亲手缔造这座小镇！他绝不会故意放你进来。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Plague_Fix.24289} 天真的学者啊……您终究远不及他睿智。西蒙放我进来，正是<b>为了小镇</b>。起初他严防死守，后来才明白，怎么守都没法守上一辈子。\n\n玻璃罩里养不出茁壮的孩子。没有与土壤的共生，何来奇迹绽放？而这片土壤——正是我。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Plague_Fix.2107} 这么说来是你害死了西蒙？一个不死之人居然死于<b>瘟疫</b>？
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Plague_Fix.15928} <b>你</b>说自己是土壤？就像是某种自然力量？
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Plague_Fix.10253} 可以这么理解。看啊，连<b>你</b>偶尔也能闪现智慧火花。我不得不赞叹丹科夫斯基医生的才华，这个还差一点就能战胜死亡的男人！
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Plague_Fix.16221} 我本来可以战胜死亡，要不是西蒙死了……
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Plague_Fix.18838} 看来这就是所谓“左右为难”？用我同僚布拉赫的话来说……
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Plague_Fix.20085} 呵，典型的中世纪寓言：医生与瘟疫对话。不过这更像是那个换生灵姑娘克拉拉的戏路……
