{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Sticky_Decrees.11629} 他们又给镇上颁布了一堆法令。好像之前还不够多似的！让我拿来给您审批。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Sticky_Decrees.8751} 这些到底是谁想出来的？
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Sticky_Decrees.27929} 您得去问上头。我只是个传话的。您下命令，我们执行。立刻执行！两天前您不是已经获得全权授权了吗？那就用起来啊。我们绝对服从。\n\n要我说，公鸡打鸣是天经地义，太阳升不升起谁在乎？
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Sticky_Decrees.29213} <b>立刻执行</b>？既然你这么说...
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Sticky_Decrees.6807} 没错。而我要行使的权力就是解除隔离。情况已经糟得不能再糟了。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Sticky_Decrees.23098} 是<b>审阅</b>，不是审批。只有看起来至少还算合理的法令我才会签字。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Sticky_Decrees.28075} 等等，小子。我认得你。不只是在市政厅……我在别处也见过你……
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Sticky_Decrees.23768} 我曾是您的助手。就在您上次控制石院区疫情的时候。“小鸟儿，小鸟儿，快聚过来……”忘了吗？您简直像条鲫鱼，过几秒钟什么都忘了。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Sticky_Decrees.29324} 想起来了。但那是什么时候的事？真的已经发生过了？
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Sticky_Decrees.11774} 我能走了吗？还有一堆事要办。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Sticky_Decrees.16526} 既然你是我助手，就帮我整理这些文件。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Sticky_Decrees.18516} 等等。我现在就要做决定，由你当场宣布，即刻执行。
{Prologue.Dialogs.Prologue_PartThree_TimeTravel.Prologue_Stillwater.Prologue_Sticky_Decrees.17092} 是金鱼，小子。金鱼的记忆。不知道你还记不记得渔夫和金鱼的睡前故事：金鱼可是能实现愿望的。
