{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_Orderly_First.1654} 马拉特·季凯金，二十八号。十点开始值班。医生，今天有什么计划？
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_Orderly_First.7021} 自然是疫苗。昨天失败了……前天也是。所以今天的计划照旧。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_Orderly_First.32538} 我们按您指示一直在追踪“发病漫长”的病例，就是那些感染后能长期抵抗沙疫的特殊案例。\n\n今天又找到三例。就在那边月台上，舞台旁边。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_Orderly_First.14703} 才三个？真遗憾。不过至少能早点收工。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_Orderly_First.2152} 医生，昨晚我们私下讨论时有个疑问：除了沙疫外，查明这些“发病漫长”的患者还患有什么病，究竟<b>有什么意义</b>？反正他们都难逃一死。\n\n就算查出他们还有……贫血？或者麻疹？我是说，在感染沙疫的基础上患上的其他病，能起什么作用？
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_Orderly_First.28290} 说了你也不懂。解释起来很费事，而且我们时间紧迫。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_Orderly_First.19195} 尽量说简单点就是……人体如同战场。每当疾病入侵，就会派出士兵作战。有时这些士兵在途中还能对抗其他疾病……包括尚未确诊的。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_Orderly_First.7926} 表面看病人症状越多，体力消耗越快。但事实正相反——有时一种病症反而能压制另一种。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_Orderly_First.17527} 我们每日的疫苗都取材于正在抵抗当日沙疫毒株的患者。<b>当日的毒株。</b>明白了吗？二十八号，你可以先退下了。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_Orderly_First.24898} 搞什么鬼？<b>昨天</b>就强调过必须隔离！<b>严禁接触</b>！这很难理解吗？
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_Orderly_First.16272} 当然清楚！怎么会不明白……但现在怎么处理？要我带走吗？
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_Orderly_First.7559} 已经没意义了。蠢货……
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_Orderly_First.22647} 勉强算聊胜于无吧。就像从病羊身上薅下的羊毛。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_Orderly_First.6680} 希望没人装病。昨天你们可是送来整整一打演技派。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_Orderly_First.6027} 计划从未改变：集中一切力量研制疫苗。当前任务是识别毒株。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_Orderly_First.17286} 过去三天接种疫苗的七百八十名患者中……死亡多少？
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_Orderly_First.15978} 稍等……四百零一例。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_Orderly_First.23534} 我记得是四百一十二例……
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_HospitalFirst.Prologue_Orderly_First.1518} ……比预期的还要糟糕。
