{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_PlagueQuarter.Prologue_Changelling_Good.8475} 学者，听我说！求你了，暂且放下成见吧。他们竟指控我就是沙疫本身！
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_PlagueQuarter.Prologue_Changelling_Good.24680} 但这恐怕没错，小圣女。我最初就有所怀疑。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_PlagueQuarter.Prologue_Changelling_Good.1786} 不准嘲笑我！你明知我在帮你。我们目标一致，只是方式不同——各尽所能罢了。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_PlagueQuarter.Prologue_Changelling_Good.30557} 你靠祈祷和催眠术治病？还有什么中世纪偏方？白屈菜？山羊肾？顺便问问：疫情是不是你散布的？
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_PlagueQuarter.Prologue_Changelling_Good.21467} 不是我！是我那个分身，那个素未谋面的双胞胎姐姐！我跟你说过，也告诉过你那位处刑人！他明明亲眼见过我们两人，却莫名其妙不肯信！
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_PlagueQuarter.Prologue_Changelling_Good.13114} 呵，双胞胎姐姐？这借口倒是方便。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_PlagueQuarter.Prologue_Changelling_Good.9402} 可我确实见过她……
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_PlagueQuarter.Prologue_Changelling_Good.902} 你的血样检测正常。但我总觉得你与疫情脱不了干系！
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_PlagueQuarter.Prologue_Changelling_Good.20069} 今天起你必须隔离。虽不知具体罪名，但你绝对难辞其咎。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_PlagueQuarter.Prologue_Changelling_Good.7236} 况且瘟疫如影随形跟着你，这是事实。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_PlagueQuarter.Prologue_Changelling_Good.3534} 恰恰相反！我只是……能预知疫情爆发点，赶去救人。求你一定要相信我！
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_PlagueQuarter.Prologue_Changelling_Good.61086} 我受够了这荒唐把戏。你早不是孩子了，克拉拉，该为自己的行为负责。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_PlagueQuarter.Prologue_Changelling_Good.50894} 要真有人败坏我名声，那就是我姐姐……她肯定藏在什么地方！你派人搜查，抓到她就会信我！
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_PlagueQuarter.Prologue_Changelling_Good.16368} 从没人见过你们同时出现，连布拉赫都没见过，那我见不到也正常。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_PlagueQuarter.Prologue_Changelling_Good.23944} 想催眠我？如你所见，毫无效果。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_PlagueQuarter.Prologue_Changelling_Good.13835} 永别了，可悲的妄想症换生灵……
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_PlagueQuarter.Prologue_Changelling_Good.59480} 但凡你能给出一个可信的理由。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_PlagueQuarter.Prologue_Changelling_Good.7013} 这些是逮捕你的护理员吧？你要是从街区外面来，早让他们逮住送走了，所以肯定是从内部潜入的。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_PlagueQuarter.Prologue_Changelling_Good.25488} 克拉拉，你极为可疑——这是事实。甚至堪称两面三刀。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_PlagueQuarter.Prologue_Changelling_Good.31892} 昨天还对我嘶吼，宣称掌控生死，说我们皆在你股掌之间，能束缚也能毁灭……难道不是？说错了还请提醒一下我。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_PlagueQuarter.Prologue_Changelling_Good.21826} 得知你在疫情前夕从空坟墓里失忆苏醒之后，我一直觉得就是你……你简直是完美的零号病人。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_PlagueQuarter.Prologue_Changelling_Good.13758} 我亲爱的同僚，他们怎么能这样对您！您定是匆匆赶来用圣手医治患者的吧？
