{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_Skinners.Prologue_Neighbour_Vasil.13436} 我刚拖完地，你就这么踩上去走来走去！你知道我费了多大劲才拖干净么……
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_Skinners.Prologue_Neighbour_Vasil.36118} 抱歉，我不太擅长倒立走路。我的腿不知道为什么，总往左边歪。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_Skinners.Prologue_Neighbour_Vasil.16071} 别耍嘴皮子了行吗？这破公寓楼就这一间浴室，街坊都在这儿给孩子洗澡，到了周二和周四才轮到大人洗，<b>他们</b>平时用完了都记得弄得干干净净的……\n\n可那家伙偏偏把这儿掀了个底朝天！先是他，现在又来了个耍嘴皮子的，我看你八成是菲拉特的哥们儿吧？
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_Skinners.Prologue_Neighbour_Vasil.51782} 按本地人的标准，医生与其说是哥们儿，不如说是敌人。不过这倒是值得研究，能写成一本……有关自我毁灭的人类学著作。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_Skinners.Prologue_Neighbour_Vasil.3795} 我只看到了<b>你</b>自己的毁灭倾向……瞧你鞋底的泥！
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_Skinners.Prologue_Neighbour_Vasil.7043} 病人要是都老实回答问题，不跟小孩子似的撒谎，我的鞋也不至于这么脏！你以为我<b>乐意</b>跑遍整个镇子去查病历？
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_Skinners.Prologue_Neighbour_Vasil.36212} 菲拉特进医院了？……这说不定还更好。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_Skinners.Prologue_Neighbour_Vasil.17254} 生病了还<b>更好</b>？喂，扭什么脸，这话可是你自己说的。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_Skinners.Prologue_Neighbour_Vasil.21601} 你有什么资格说我！我给他做了一辈子饭，扫了一辈子地，还不都是因为他孤零零地没人照顾！我倒也没嫌麻烦，毕竟大家都是老邻居，他跟我丈夫穿开裆裤就认识了。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_Skinners.Prologue_Neighbour_Vasil.47771} 听起来真够温馨的。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_Skinners.Prologue_Neighbour_Vasil.12596} 我们后来是有些疏远，但他以前有什么总会跟我说谢谢……突然有一天，他什么都忘了，再也没跟我说过一句话。见了我就低着头，加快脚步走回公寓，招呼不打，连句再见都不说，\n\n倒是喜欢在浴室里耍威风！
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_Skinners.Prologue_Neighbour_Vasil.45987} 这么说来，菲拉特平时不是这么疯疯癫癫的？以前都是规规矩矩的，没破坏过公物？
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_Skinners.Prologue_Neighbour_Vasil.32251} 这种人<b>什么样</b>还用说吗？酒鬼都这副德行！刚才还安安静静，转眼就发起疯来！你瞧他弄的这有多乱！没动手打人算走运了！
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_Skinners.Prologue_Neighbour_Vasil.44191} 他酗酒很久了么？这是他第一次出现震颤性谵妄的症状？
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_Skinners.Prologue_Neighbour_Vasil.24984} 他以前不喝酒。可你看看窗外。整个镇子都在慢慢垮掉，哪怕是圣人也得喝上一口。\n\n人就跟疯了一样……不是抓起酒瓶，就是抄起刀子。想在这世道保持人性可不容易，内心的野兽随时都有可能会挣脱出来。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_Skinners.Prologue_Neighbour_Vasil.7457} 你<b>确定</b>菲拉特是喝醉了才闹事？还是瞎猜的？
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_Skinners.Prologue_Neighbour_Vasil.20326} 不然呢？他不仅<b>砸</b>了浴室，还吐得到处都是，弄得这地方脏兮兮的……我觉得我这辈子都弄不干净了！\n\n你知道清理别人呕吐物是什么感觉吗？呵，你们这些<b>体面人</b>哪懂这个！
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_Skinners.Prologue_Neighbour_Vasil.18834} 女士，我可是医学院毕业的。我处理过的呕吐物比这栋楼能装的还多。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_Skinners.Prologue_Neighbour_Vasil.7034} 想知道的都问完了吗？我还得清理浴室。孩子很快就要跑上来洗手准备吃饭了，可不能让他们看见这堆东西！
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_Skinners.Prologue_Neighbour_Vasil.43678} 等会儿。菲拉特别的事你还有什么印象吗？比方说他以前有没有生过什么病？慢性病和急症都算……记得的都可以跟我说。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_Skinners.Prologue_Neighbour_Vasil.21009} 菲拉特没生过什么病。他身体结实，吃苦耐劳，能当拉车的马用！不是真的让他去拉车，是他身体好到我<b>一下</b>就能想象到他拉车的样子。也是因为这个，他们当年才雇他去看奥林斯基肉罐头厂。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_Skinners.Prologue_Neighbour_Vasil.41582} 你们两个那会儿经常聊天，对吧？
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_Skinners.Prologue_Neighbour_Vasil.15232} <b>要我说</b>，菲拉特身子骨够格，但性子不合适。\n\n蚁巢招看门的，是为了防着草原蛮子闯进城里，他倒好，对那些东西还带着<b>感情</b>，跟我争什么虫民和草药新娘跟我们是不是平等的。我们俩就是因为这个吵翻的。你说，这样的人能看得了门么！
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_Skinners.Prologue_Neighbour_Vasil.65093} 你说他们是“蛮子”……你有没有想过，在首都的老爷眼里，这座镇子上的<b>所有人</b>，管你是镇民还是虫民，都算“蛮子”？
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_Skinners.Prologue_Neighbour_Vasil.18896} 说的这是什么话！少来烦我，我可没空琢磨你那些大道理，浴室还没打扫完呢！\n\n菲拉特当年也是成天琢磨这些事儿，弄得我们关系没以前好了，<b>还</b>害他自己成了酒鬼。琢磨这些破事儿能有啥好下场？
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_Skinners.Prologue_Neighbour_Vasil.29729} 菲拉特住的屋子是哪间？我走之前想去看一眼。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_Skinners.Prologue_Neighbour_Vasil.1731} 沿着走廊走，走到底就是了。钥匙给你，自己去吧，我还得收拾他这烂摊子。我在这儿累半天，腰都要累断，你说这都赖谁？脑子不清楚，现在又成了<b>酒鬼</b>，可怜哟……
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_Skinners.Prologue_Neighbour_Vasil.17434} 帮大忙了。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_Skinners.Prologue_Neighbour_Vasil.23612} 他邻居说他有幻听和呕吐的症状。得记在病历里。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_Skinners.Prologue_Neighbour_Vasil.20126} 结合静脉的问题来看，菲拉特要是搞错了……那就只剩一种诊断了。不过还是得去他屋里看看，不然我大老远跑来干什么？
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_Skinners.Prologue_Neighbour_Vasil.33252} 这种<b>高见</b>让你显得不太光彩，不过话说回来，你那位邻居听着倒像是个有良心的！
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_Skinners.Prologue_Neighbour_Vasil.65071} 他也跟我吵过，说闹瘟疫了就把人关起来算哪门子道理……还有为了大家好就把人隔离起来根本是放屁……
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_Skinners.Prologue_Neighbour_Vasil.24615} 看肉联厂那差事，怕是早把他身子骨熬垮了。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_Skinners.Prologue_Neighbour_Vasil.34675} 我们能不能说回他酗酒的事？你说他出现谵妄的症状，这说法虽然合理，但终究是猜测。况且他跟我说自己没有喝酒的习惯，态度很真诚，不像装的……
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_Skinners.Prologue_Neighbour_Vasil.13915} 这种丢人的事谁肯承认？老酒鬼会觉得挺自豪，刚开始酗酒的才会害臊。\n\n我<b>巴不得</b>他知道羞……可谁知道呢？他就跟变了个人似的！我说呀，他早就不知道自己是谁了，彻底疯了！
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_Skinners.Prologue_Neighbour_Vasil.27905} 彻底疯了？这倒是第一次听说。你说他疯，是说他在浴室发疯那次，还是说他干了什么其他的“疯子才干得出的事”？
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_Skinners.Prologue_Neighbour_Vasil.4526} 早有苗头了！他砸浴室之前，我每晚都能听见他家门里传出来<b>嘀嘀咕咕</b>的声音。他一个人住，没亲人，也没人来看他，以前就我们夫妻俩还跟他有来往……\n\n他一个人在屋里跟空气说话，这不叫疯，什么叫疯？
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_Skinners.Prologue_Neighbour_Vasil.60690} 你怎么不早说？看你也是个明白人，怎么连<b>你</b>说个事情都跟要了命似的？现在整个病情都得推翻重判！
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_Skinners.Prologue_Neighbour_Vasil.13806} 那你呢？你刚进来那会儿不也没脱鞋么？还不是因为你也一下没想起来！我没提他自言自语的事也是一个道理。\n\n该说的都说完了吧？谁还没个底线？拖地就够累人了，但是跟人说老朋友的坏话更难受。唉，那个可怜虫，我真对不起他。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_Skinners.Prologue_Neighbour_Vasil.2987} 你说不定是对的。这些幻听症状，确实全都指向谵妄。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_Skinners.Prologue_Neighbour_Vasil.16222} 该说的都说完了吧？谁还没个底线？拖地就够累人了，但是跟人说老朋友的坏话更难受。唉，那个可怜虫，我真对不起他。
{Prologue.Dialogs.Prologue_PartTwo_Hospital.Prologue_Skinners.Prologue_Neighbour_Vasil.5459} 不过他的思维逻辑也没混乱到那种地步。
