{QuestMarkers.QuestMarkersEnum.Theater} 医院里大概有病人在等我。
{QuestMarkers.QuestMarkersEnum.VasilysHouse} 菲拉特的家里也许藏着关于他病情的线索。
{QuestMarkers.QuestMarkersEnum.Bar} 酒馆
{QuestMarkers.QuestMarkersEnum.HouseOfAristarchus} 阿里斯塔尔赫的宅子
{QuestMarkers.QuestMarkersEnum.ChernyshsHouse} 小黑的宅子
{QuestMarkers.QuestMarkersEnum.HouseOfMiroshi} 托派的宅子
{QuestMarkers.QuestMarkersEnum.Marquee} 华盖
{QuestMarkers.QuestMarkersEnum.Microscope} 我的显微镜在静水观星台。
{QuestMarkers.QuestMarkersEnum.WherePowder} 那粉末会在哪儿呢？
{QuestMarkers.QuestMarkersEnum.RawBuildings} 萨布罗夫建议我去看看上一次大疫爆发的城区之残骸。
{QuestMarkers.QuestMarkersEnum.MeetingPoint} 帕拉蒙和樱桃在等我的指示——挖哪一座墓。
{QuestMarkers.QuestMarkersEnum.NeedFindDigger} 我得找一个肯把我看中的那座墓挖开的人。
{QuestMarkers.QuestMarkersEnum.HouseOfIsidore} 走运的话，我能在伊西多尔的宅子里找到鲁宾。
{QuestMarkers.QuestMarkersEnum.Council} 市政厅集合了一场议事，商讨抗疫之策。
{QuestMarkers.QuestMarkersEnum.Clot} 奥尔金斯基想私下谈一谈。
{QuestMarkers.QuestMarkersEnum.Cemetery} 墓园
{QuestMarkers.QuestMarkersEnum.HornsVictor} 熔炉：维克多的偏厅
{QuestMarkers.QuestMarkersEnum.Cape} 玛丽亚十点后便会离开，我最好不要迟到。
{QuestMarkers.QuestMarkersEnum.Kernel} 脊宅
{QuestMarkers.QuestMarkersEnum.Tannery} 鞣匠街的疫情失控，还有传言说出现了一种"良药"。
{QuestMarkers.QuestMarkersEnum.Cathedral} 教堂
{QuestMarkers.QuestMarkersEnum.Seine} 尤利娅·柳里切娃住在这里，她会向我详述大教堂之事。
{QuestMarkers.QuestMarkersEnum.WarehouseBody} 据说西蒙的遗体藏在仓库。
