{UI.AmmoNumNotification.0} 空
{UI.AmmoNumNotification.1} 一
{UI.AmmoNumNotification.2} 二
{UI.AmmoNumNotification.3} 三
{UI.AmmoNumNotification.4} 四
{UI.AmmoNumNotification.5} 五
{UI.AmmoNumNotification.6} 六
{UI.AmmoNumNotification.7} 七
{UI.AmmoNumNotification.8} 八
{UI.AmmoNumNotification.9} 九
{UI.AmmoNumNotification.10} 十
{UI.AmmoNumNotification.11} 十一
{UI.AmmoNumNotification.12} 十二
{UI.AmmoNumNotification.13} 十三
{UI.AmmoNumNotification.14} 十四
{UI.AmmoNumNotification.15} 十五
{UI.AmmoNumNotification.16} 十六
{UI.AmmoNumNotification.17} 十七
{UI.AmmoNumNotification.18} 十八
{UI.AmmoNumNotification.19} 十九
{UI.AmmoNumNotification.20} 二十
