{UI.Building.None} 未知
{UI.Building.Grief} 恶徒格里夫的老巢
{UI.Building.Notkin} 半灵要塞
{UI.Building.Government} 市政厅
{UI.Building.Theater} 剧院
{UI.Building.Georgy} 炉宅：格奥尔基的车间
{UI.Building.Maria} 炉宅：玛利亚的卧室
{UI.Building.Victor} 炉宅：维克多的住处
{UI.Building.Eva} 静水观星台
{UI.Building.Julia} 束网
{UI.Building.Young_Vlad} 空房
{UI.Building.Kapella} 栓宅：卡佩拉的房间
{UI.Building.Olgimski} 栓宅：奥利加的房间
{UI.Building.Lara} 庇护所
{UI.Building.Mishka} 马基的住处
{UI.Building.Saburov} 脊宅
{UI.Building.Peter_Flat} 斯特马汀的公寓
{UI.Building.Laska} 格蕾丝的小屋
{UI.Building.Ospina} 阿斯皮蒂的收容所
{UI.Building.Rubin} 鲁兵的藏身处
{UI.Building.Rubin_Flat} 鲁兵的公寓
{UI.Building.Anna} 威洛斯
{UI.Building.Haruspex} 肠卜师的老巢
{UI.Building.Isidor} 伊西多·布拉赫的家
{UI.Building.Polyhedron} 多面体
{UI.Building.Cathedral} 教堂
{UI.Building.Boiny} 屠宰场
{UI.Building.Termitnik} 蚁巢
{UI.Building.AndrewBar} 破碎之心酒馆
