{UI.ControlsInfo.Aim} 瞄准
{UI.ControlsInfo.Tags} （按住）- 专注模式
{UI.ControlsInfo.Sprint} （按住）- 奔跑
{UI.ControlsInfo.WeaponSelector} （按住）- 武器选择
{UI.ControlsInfo.Shoot} 使用工具/开枪
{UI.ControlsInfo.Notes} 笔记
{UI.ControlsInfo.Inventory} 物品栏
{UI.ControlsInfo.Map} 地图
{UI.ControlsInfo.Interact} 互动
{UI.ControlsInfo.Reload} 重新装填
{UI.ControlsInfo.Tablet} 病历簿
{UI.ControlsInfo.FastSlot} 扔火柴
{UI.ControlsInfo.Mindmap} 思维导图
{UI.ControlsInfo.Pause} 暂停
{UI.ControlsInfo.Quickslots} 快速存档槽位
{UI.ControlsInfo.Movement} 行动
{UI.ControlsInfo.Prototype} 装备/收起原型器具
{UI.ControlsInfo.Gun} 拔出/放回手枪
{UI.ControlsInfo.Camera} 镜头
{UI.ControlsInfo.Barter} 交易
{UI.ControlsInfo.PrevItem} 上一个快速槽位
{UI.ControlsInfo.NextItem} 下一个快速槽位
{UI.ControlsInfo.MapRemoveAllPoints} 清除全部标记
{UI.ControlsInfo.MapRemoveLastPoint} 移除上个标记
{UI.ControlsInfo.MapStartNavigation} 开始行进
{UI.ControlsInfo.MapAddOrRemovePoint} 添加/移除标记
{UI.ControlsInfo.SamplesGather} 采集样本
{UI.ControlsInfo.SamplesSelect} 选择
{UI.ControlsInfo.SamplesLeft} 上一个
{UI.ControlsInfo.SamplesRight} 下一个
{UI.ControlsInfo.SettingsSetBindingsToDefault} 恢复默认设置
{UI.ControlsInfo.MoveUp} 向前移动
{UI.ControlsInfo.Movedown} 向后移动
{UI.ControlsInfo.MoveLeft} 向左移动
{UI.ControlsInfo.MoveRight} 向右移动
{UI.ControlsInfo.UseItem} 使用
{UI.ControlsInfo.InspectionTagsModeOn} 进入检视模式
{UI.ControlsInfo.InspectionTagsModeOff} 退出检视模式
{UI.ControlsInfo.ScrollCursorModeOn} 启用自由光标
{UI.ControlsInfo.ScrollCursorModeOff} 关闭自由光标
{UI.ControlsInfo.Zoom} 缩放
{UI.ControlsInfo.ContextMenu} 菜单
{UI.ControlsInfo.Loot} 搜刮
{UI.ControlsInfo.AddToSlot} 加入快捷栏
{UI.ControlsInfo.MicroscopeMoveCamera} 移动视角
{UI.ControlsInfo.SelectSave} 选择存档
{UI.ControlsInfo.LoadSave} 读取
{UI.ControlsInfo.RemoveSave} 删除
{UI.ControlsInfo.StaffCarouselFilters} 切换筛选
{UI.ControlsInfo.AddToCraft} 添加原料
{UI.ControlsInfo.Add} 添加
{UI.ControlsInfo.SelectDialog} 发言
{UI.ControlsInfo.DialogNavigation} 选择
{UI.ControlsInfo.NextNote} 下一条笔记
{UI.ControlsInfo.PrevNote} 上一条笔记
{UI.ControlsInfo.SelectDay} 选择日期
{UI.ControlsInfo.TabletChoseSymptom} 选择症状
{UI.ControlsInfo.TabletDiscardSymptom} 移除症状
{UI.ControlsInfo.InspectionSelectBodyPart} 身体部位
{UI.ControlsInfo.InspectionSubmitBodyPart} 检查
{UI.ControlsInfo.CharacterScreenOpenDossier} 打开档案
{UI.ControlsInfo.PrototypeProjectile} （原型）弹射模式
{UI.ControlsInfo.HideUI} 隐藏界面
