{UI.Menu.BottomButtons.Cancel} 返回
{UI.Menu.BottomButtons.TabletDiagnosis} 锁定诊断（按住）
{UI.Menu.BottomButtons.Tablet} 打开病历簿
{UI.Menu.BottomButtons.OpenStaffCommands} 改变法令
{UI.Menu.BottomButtons.RemoveStaffCommand} 移除法令
{UI.Menu.BottomButtons.ReadNote} 阅读
{UI.Menu.BottomButtons.Tags} 想法
{UI.Menu.BottomButtons.CraftClearSlots} 清空槽位
{UI.Menu.BottomButtons.CraftRecipes} 所有制作配方
{UI.Menu.BottomButtons.CraftUseRecipes} 使用制作配方
{UI.Menu.BottomButtons.StartCraft} 配制药物
{UI.Menu.BottomButtons.TakeAll} 全部拿取
{UI.Menu.BottomButtons.CloseTutorial} 继续
{UI.Menu.BottomButtons.Submit} 确认诊断
{UI.Menu.BottomButtons.Apply} 应用
{UI.Menu.BottomButtons.EuthanasiaInject} 管理
{UI.Menu.BottomButtons.Trade} 交易
{UI.Menu.BottomButtons.DiagnosisDescription} 诊断描述
{UI.Menu.BottomButtons.TabletAllDays} 所有病人
{UI.Menu.BottomButtons.ContextMenu} 菜单
{UI.Menu.BottomButtons.TooltipOn} 启用描述
{UI.Menu.BottomButtons.TooltipOff} 禁用描述
{UI.Menu.BottomButtons.ChargeSprayWeapon} 加载
{UI.Menu.BottomButtons.ProfileDelete} 删除档案
{UI.Menu.BottomButtons.ProfileStart} 开始游戏
{UI.Menu.BottomButtons.StartMicroscope} 检查
{UI.Menu.BottomButtons.SelectorLeft} ⁠
{UI.Menu.BottomButtons.SelectorRight} ⁠
{UI.Menu.BottomButtons.Analyser} 分析
{UI.Menu.BottomButtons.ToDiagnoses} 选择诊断
{UI.Menu.BottomButtons.SymptomsTooltip} 症状描述
{UI.Menu.BottomButtons.LeavePatient} 放弃病人
